state,month,population,median_income,initial_claims,Unemployment Rate,lfp_rate
Alabama,1989/8/1,4030.222,47570,23268,7,62.1
Alabama,1989/9/1,4030.222,47570,23945,6.9,62.2
Alabama,1989/10/1,4030.222,47570,21119,6.8,62.2
Alabama,1989/11/1,4030.222,47570,21352,6.7,62.3
Alabama,1989/12/1,4030.222,47570,43191,6.7,62.4
Alabama,1990/1/1,4048.508,49790,60648,6.7,62.5
Alabama,1990/2/1,4048.508,49790,31676,6.7,62.4
Alabama,1990/3/1,4048.508,49790,38231,6.7,62.4
Alabama,1990/4/1,4048.508,49790,32693,6.7,62.3
Alabama,1990/5/1,4048.508,49790,23508,6.7,62.1
Alabama,1990/6/1,4048.508,49790,26437,6.7,62
Alabama,1990/7/1,4048.508,49790,44702,6.8,61.9
Alabama,1990/8/1,4048.508,49790,27139,6.9,61.8
Alabama,1990/9/1,4048.508,49790,29007,6.9,61.8
Alabama,1990/10/1,4048.508,49790,25636,7,61.8
Alabama,1990/11/1,4048.508,49790,27919,7,61.7
Alabama,1990/12/1,4048.508,49790,56155,7.1,61.7
Alabama,1991/1/1,4091.025,50080,76530,7.1,61.7
Alabama,1991/2/1,4091.025,50080,37263,7.1,61.8
Alabama,1991/3/1,4091.025,50080,38244,7.2,61.8
Alabama,1991/4/1,4091.025,50080,32500,7.2,61.8
Alabama,1991/5/1,4091.025,50080,25908,7.3,61.8
Alabama,1991/6/1,4091.025,50080,28220,7.3,61.8
Alabama,1991/7/1,4091.025,50080,43119,7.3,61.7
Alabama,1991/8/1,4091.025,50080,28038,7.3,61.7
Alabama,1991/9/1,4091.025,50080,19013,7.3,61.6
Alabama,1991/10/1,4091.025,50080,21585,7.3,61.6
Alabama,1991/11/1,4091.025,50080,30029,7.4,61.6
Alabama,1991/12/1,4091.025,50080,30891,7.4,61.6
Alabama,1992/1/1,4139.269,51770,69540,7.5,61.7
Alabama,1992/2/1,4139.269,51770,35754,7.5,61.7
Alabama,1992/3/1,4139.269,51770,23392,7.6,61.8
Alabama,1992/4/1,4139.269,51770,25335,7.6,62
Alabama,1992/5/1,4139.269,51770,26199,7.6,62.2
Alabama,1992/6/1,4139.269,51770,22941,7.6,62.4
Alabama,1992/7/1,4139.269,51770,40092,7.5,62.5
Alabama,1992/8/1,4139.269,51770,28190,7.5,62.5
Alabama,1992/9/1,4139.269,51770,17784,7.5,62.5
Alabama,1992/10/1,4139.269,51770,23305,7.5,62.5
Alabama,1992/11/1,4139.269,51770,18684,7.5,62.5
Alabama,1992/12/1,4139.269,51770,23967,7.5,62.5
Alabama,1993/1/1,4193.114,49100,75471,7.5,62.5
Alabama,1993/2/1,4193.114,49100,27201,7.5,62.5
Alabama,1993/3/1,4193.114,49100,21900,7.5,62.6
Alabama,1993/4/1,4193.114,49100,24723,7.5,62.6
Alabama,1993/5/1,4193.114,49100,24382,7.4,62.6
Alabama,1993/6/1,4193.114,49100,26063,7.3,62.6
Alabama,1993/7/1,4193.114,49100,51998,7.3,62.6
Alabama,1993/8/1,4193.114,49100,19432,7.2,62.5
Alabama,1993/9/1,4193.114,49100,17198,7.1,62.4
Alabama,1993/10/1,4193.114,49100,23407,7,62.4
Alabama,1993/11/1,4193.114,49100,19370,6.9,62.4
Alabama,1993/12/1,4193.114,49100,26995,6.8,62.4
Alabama,1994/1/1,4232.965,52100,77660,6.7,62.5
Alabama,1994/2/1,4232.965,52100,22033,6.5,62.5
Alabama,1994/3/1,4232.965,52100,21125,6.4,62.6
Alabama,1994/4/1,4232.965,52100,23349,6.3,62.6
Alabama,1994/5/1,4232.965,52100,18051,6.2,62.7
Alabama,1994/6/1,4232.965,52100,16761,6.1,62.7
Alabama,1994/7/1,4232.965,52100,44863,6,62.9
Alabama,1994/8/1,4232.965,52100,16910,6,63.1
Alabama,1994/9/1,4232.965,52100,14047,6,63.3
Alabama,1994/10/1,4232.965,52100,21070,6,63.5
Alabama,1994/11/1,4232.965,52100,14262,5.9,63.6
Alabama,1994/12/1,4232.965,52100,28130,5.9,63.7
Alabama,1995/1/1,4262.731,48640,56195,5.9,63.7
Alabama,1995/2/1,4262.731,48640,20306,5.9,63.7
Alabama,1995/3/1,4262.731,48640,17800,6,63.7
Alabama,1995/4/1,4262.731,48640,22818,6,63.6
Alabama,1995/5/1,4262.731,48640,19187,6,63.6
Alabama,1995/6/1,4262.731,48640,19195,6,63.5
Alabama,1995/7/1,4262.731,48640,52825,5.9,63.5
Alabama,1995/8/1,4262.731,48640,20838,5.9,63.4
Alabama,1995/9/1,4262.731,48640,25010,5.8,63.4
Alabama,1995/10/1,4262.731,48640,30264,5.7,63.3
Alabama,1995/11/1,4262.731,48640,26090,5.6,63.2
Alabama,1995/12/1,4262.731,48640,43575,5.5,63.2
Alabama,1996/1/1,4290.403,55250,65336,5.4,63.1
Alabama,1996/2/1,4290.403,55250,30316,5.4,63.1
Alabama,1996/3/1,4290.403,55250,33145,5.3,63.2
Alabama,1996/4/1,4290.403,55250,24456,5.3,63.3
Alabama,1996/5/1,4290.403,55250,19517,5.2,63.4
Alabama,1996/6/1,4290.403,55250,25107,5.2,63.5
Alabama,1996/7/1,4290.403,55250,37665,5.1,63.7
Alabama,1996/8/1,4290.403,55250,24937,5.1,63.8
Alabama,1996/9/1,4290.403,55250,15645,5,63.9
Alabama,1996/10/1,4290.403,55250,18576,5.1,64
Alabama,1996/11/1,4290.403,55250,23085,5.1,64
Alabama,1996/12/1,4290.403,55250,27879,5.1,64.1
Alabama,1997/1/1,4320.281,57010,65160,5.1,64.1
Alabama,1997/2/1,4320.281,57010,22772,5.1,64.1
Alabama,1997/3/1,4320.281,57010,21976,5.1,64.2
Alabama,1997/4/1,4320.281,57010,20244,5.1,64.2
Alabama,1997/5/1,4320.281,57010,22511,5.1,64.3
Alabama,1997/6/1,4320.281,57010,20750,5,64.3
Alabama,1997/7/1,4320.281,57010,36739,5,64.4
Alabama,1997/8/1,4320.281,57010,23403,4.9,64.4
Alabama,1997/9/1,4320.281,57010,16313,4.9,64.4
Alabama,1997/10/1,4320.281,57010,19135,4.8,64.4
Alabama,1997/11/1,4320.281,57010,21760,4.7,64.3
Alabama,1997/12/1,4320.281,57010,24978,4.6,64.3
Alabama,1998/1/1,4351.037,63860,73908,4.5,64.3
Alabama,1998/2/1,4351.037,63860,20567,4.4,64.2
Alabama,1998/3/1,4351.037,63860,18129,4.4,64.2
Alabama,1998/4/1,4351.037,63860,20965,4.4,64.1
Alabama,1998/5/1,4351.037,63860,23015,4.4,64
Alabama,1998/6/1,4351.037,63860,19293,4.4,64
Alabama,1998/7/1,4351.037,63860,38969,4.5,63.9
Alabama,1998/8/1,4351.037,63860,21933,4.5,63.9
Alabama,1998/9/1,4351.037,63860,16016,4.5,63.9
Alabama,1998/10/1,4351.037,63860,28611,4.5,63.9
Alabama,1998/11/1,4351.037,63860,22288,4.5,63.9
Alabama,1998/12/1,4351.037,63860,25124,4.5,63.9
Alabama,1999/1/1,4369.862,62540,67181,4.6,63.9
Alabama,1999/2/1,4369.862,62540,19608,4.6,63.9
Alabama,1999/3/1,4369.862,62540,16462,4.7,64
Alabama,1999/4/1,4369.862,62540,19232,4.7,64
Alabama,1999/5/1,4369.862,62540,22526,4.8,64
Alabama,1999/6/1,4369.862,62540,17388,4.8,64
Alabama,1999/7/1,4369.862,62540,37610,4.8,63.9
Alabama,1999/8/1,4369.862,62540,16952,4.8,63.9
Alabama,1999/9/1,4369.862,62540,15378,4.8,63.9
Alabama,1999/10/1,4369.862,62540,20587,4.8,63.9
Alabama,1999/11/1,4369.862,62540,17042,4.7,63.9
Alabama,1999/12/1,4369.862,62540,22705,4.7,63.9
Alabama,2000/1/1,4452.173,59070,59134,4.7,63.9
Alabama,2000/2/1,4452.173,59070,20675,4.7,63.9
Alabama,2000/3/1,4452.173,59070,15380,4.7,63.9
Alabama,2000/4/1,4452.173,59070,21490,4.7,63.9
Alabama,2000/5/1,4452.173,59070,17350,4.6,63.8
Alabama,2000/6/1,4452.173,59070,17773,4.6,63.7
Alabama,2000/7/1,4452.173,59070,36573,4.6,63.5
Alabama,2000/8/1,4452.173,59070,20715,4.6,63.4
Alabama,2000/9/1,4452.173,59070,23662,4.6,63.3
Alabama,2000/10/1,4452.173,59070,22274,4.6,63.3
Alabama,2000/11/1,4452.173,59070,23520,4.6,63.2
Alabama,2000/12/1,4452.173,59070,38069,4.7,63.2
Alabama,2001/1/1,4467.634,57340,54729,4.7,63.3
Alabama,2001/2/1,4467.634,57340,27247,4.8,63.2
Alabama,2001/3/1,4467.634,57340,29134,4.8,63.2
Alabama,2001/4/1,4467.634,57340,27570,4.8,63
Alabama,2001/5/1,4467.634,57340,22449,4.9,62.8
Alabama,2001/6/1,4467.634,57340,34108,5,62.7
Alabama,2001/7/1,4467.634,57340,37958,5.1,62.6
Alabama,2001/8/1,4467.634,57340,21650,5.2,62.5
Alabama,2001/9/1,4467.634,57340,27615,5.4,62.4
Alabama,2001/10/1,4467.634,57340,26197,5.6,62.4
Alabama,2001/11/1,4467.634,57340,26975,5.7,62.3
Alabama,2001/12/1,4467.634,57340,38506,5.8,62.2
Alabama,2002/1/1,4480.089,60570,55283,5.8,62.1
Alabama,2002/2/1,4480.089,60570,23408,5.9,62.1
Alabama,2002/3/1,4480.089,60570,25953,5.9,62
Alabama,2002/4/1,4480.089,60570,26291,5.9,62
Alabama,2002/5/1,4480.089,60570,20145,5.9,62
Alabama,2002/6/1,4480.089,60570,24842,5.9,62.1
Alabama,2002/7/1,4480.089,60570,30052,5.9,62.1
Alabama,2002/8/1,4480.089,60570,18327,5.9,62.2
Alabama,2002/9/1,4480.089,60570,18485,5.9,62.2
Alabama,2002/10/1,4480.089,60570,23030,5.9,62.2
Alabama,2002/11/1,4480.089,60570,27975,5.9,62.2
Alabama,2002/12/1,4480.089,60570,28773,5.9,62.2
Alabama,2003/1/1,4503.491,58790,51703,5.9,62.2
Alabama,2003/2/1,4503.491,58790,21177,5.9,62.2
Alabama,2003/3/1,4503.491,58790,26742,5.9,62.2
Alabama,2003/4/1,4503.491,58790,25866,5.9,62.3
Alabama,2003/5/1,4503.491,58790,29609,6,62.3
Alabama,2003/6/1,4503.491,58790,26502,6,62.2
Alabama,2003/7/1,4503.491,58790,32485,6,62.2
Alabama,2003/8/1,4503.491,58790,26628,6,62.2
Alabama,2003/9/1,4503.491,58790,17315,6,62.2
Alabama,2003/10/1,4503.491,58790,18750,6,62.1
Alabama,2003/11/1,4503.491,58790,22086,5.9,62.2
Alabama,2003/12/1,4503.491,58790,25935,5.9,62.2
Alabama,2004/1/1,4530.729,56390,47732,5.9,62.2
Alabama,2004/2/1,4530.729,56390,18684,5.9,62.2
Alabama,2004/3/1,4530.729,56390,17610,5.8,62.3
Alabama,2004/4/1,4530.729,56390,17641,5.8,62.3
Alabama,2004/5/1,4530.729,56390,23537,5.7,62.3
Alabama,2004/6/1,4530.729,56390,17522,5.7,62.3
Alabama,2004/7/1,4530.729,56390,30988,5.6,62.2
Alabama,2004/8/1,4530.729,56390,15290,5.5,62.1
Alabama,2004/9/1,4530.729,56390,19310,5.4,61.9
Alabama,2004/10/1,4530.729,56390,28724,5.3,61.8
Alabama,2004/11/1,4530.729,56390,14047,5.2,61.7
Alabama,2004/12/1,4530.729,56390,21586,5.1,61.6
Alabama,2005/1/1,4569.805,55580,41682,5,61.5
Alabama,2005/2/1,4569.805,55580,14940,4.9,61.5
Alabama,2005/3/1,4569.805,55580,14349,4.8,61.5
Alabama,2005/4/1,4569.805,55580,20673,4.6,61.5
Alabama,2005/5/1,4569.805,55580,17407,4.5,61.5
Alabama,2005/6/1,4569.805,55580,17685,4.4,61.5
Alabama,2005/7/1,4569.805,55580,30490,4.3,61.5
Alabama,2005/8/1,4569.805,55580,14268,4.2,61.5
Alabama,2005/9/1,4569.805,55580,24548,4.2,61.5
Alabama,2005/10/1,4569.805,55580,18893,4.2,61.4
Alabama,2005/11/1,4569.805,55580,13856,4.2,61.3
Alabama,2005/12/1,4569.805,55580,24458,4.2,61.3
Alabama,2006/1/1,4628.981,55180,31450,4.2,61.3
Alabama,2006/2/1,4628.981,55180,13268,4.1,61.3
Alabama,2006/3/1,4628.981,55180,14910,4.1,61.4
Alabama,2006/4/1,4628.981,55180,21145,4.1,61.4
Alabama,2006/5/1,4628.981,55180,16342,4.1,61.4
Alabama,2006/6/1,4628.981,55180,17419,4.1,61.5
Alabama,2006/7/1,4628.981,55180,31221,4,61.5
Alabama,2006/8/1,4628.981,55180,14436,4,61.6
Alabama,2006/9/1,4628.981,55180,17954,3.9,61.7
Alabama,2006/10/1,4628.981,55180,19124,3.9,61.7
Alabama,2006/11/1,4628.981,55180,15909,3.8,61.7
Alabama,2006/12/1,4628.981,55180,30008,3.8,61.7
Alabama,2007/1/1,4672.84,59840,34842,3.8,61.7
Alabama,2007/2/1,4672.84,59840,14169,3.9,61.6
Alabama,2007/3/1,4672.84,59840,20822,3.9,61.4
Alabama,2007/4/1,4672.84,59840,15658,3.9,61.3
Alabama,2007/5/1,4672.84,59840,16206,4,61.2
Alabama,2007/6/1,4672.84,59840,20076,4,61.1
Alabama,2007/7/1,4672.84,59840,26846,4,61.1
Alabama,2007/8/1,4672.84,59840,15423,4.1,61
Alabama,2007/9/1,4672.84,59840,18690,4.2,61
Alabama,2007/10/1,4672.84,59840,16351,4.2,61
Alabama,2007/11/1,4672.84,59840,15549,4.3,61
Alabama,2007/12/1,4672.84,59840,27350,4.5,60.9
Alabama,2008/1/1,4718.206,60810,34781,4.6,60.9
Alabama,2008/2/1,4718.206,60810,19226,4.7,60.8
Alabama,2008/3/1,4718.206,60810,22198,4.9,60.8
Alabama,2008/4/1,4718.206,60810,19792,5.2,60.7
Alabama,2008/5/1,4718.206,60810,24438,5.4,60.7
Alabama,2008/6/1,4718.206,60810,19430,5.7,60.6
Alabama,2008/7/1,4718.206,60810,28813,6,60.5
Alabama,2008/8/1,4718.206,60810,24770,6.3,60.4
Alabama,2008/9/1,4718.206,60810,20351,6.5,60.3
Alabama,2008/10/1,4718.206,60810,28071,6.9,60.2
Alabama,2008/11/1,4718.206,60810,41655,7.2,60.1
Alabama,2008/12/1,4718.206,60810,52706,7.6,59.9
Alabama,2009/1/1,4757.938,54890,76122,8,59.8
Alabama,2009/2/1,4757.938,54890,41011,8.4,59.7
Alabama,2009/3/1,4757.938,54890,40459,8.8,59.5
Alabama,2009/4/1,4757.938,54890,33786,9.1,59.4
Alabama,2009/5/1,4757.938,54890,41692,9.4,59.4
Alabama,2009/6/1,4757.938,54890,37091,9.7,59.3
Alabama,2009/7/1,4757.938,54890,37883,10,59.1
Alabama,2009/8/1,4757.938,54890,36584,10.3,59
Alabama,2009/9/1,4757.938,54890,25943,10.5,58.8
Alabama,2009/10/1,4757.938,54890,36201,10.7,58.7
Alabama,2009/11/1,4757.938,54890,25093,10.9,58.6
Alabama,2009/12/1,4757.938,54890,31848,11,58.6
Alabama,2010/1/1,4785.514,55440,52969,11,58.7
Alabama,2010/2/1,4785.514,55440,25002,11,58.7
Alabama,2010/3/1,4785.514,55440,24410,10.9,58.6
Alabama,2010/4/1,4785.514,55440,23954,10.5,60
Alabama,2010/5/1,4785.514,55440,28100,10.3,60.3
Alabama,2010/6/1,4785.514,55440,25430,10.2,60.3
Alabama,2010/7/1,4785.514,55440,37272,10.1,60.3
Alabama,2010/8/1,4785.514,55440,24859,10.1,60.2
Alabama,2010/9/1,4785.514,55440,22351,10.1,60.2
Alabama,2010/10/1,4785.514,55440,31499,10.1,60.2
Alabama,2010/11/1,4785.514,55440,24057,10.1,60.1
Alabama,2010/12/1,4785.514,55440,30493,10.1,60
Alabama,2011/1/1,4799.642,55940,52232,10.1,59.9
Alabama,2011/2/1,4799.642,55940,21817,10,59.9
Alabama,2011/3/1,4799.642,55940,20725,9.9,59.8
Alabama,2011/4/1,4799.642,55940,29140,9.9,59.8
Alabama,2011/5/1,4799.642,55940,32521,9.8,59.7
Alabama,2011/6/1,4799.642,55940,23338,9.8,59.5
Alabama,2011/7/1,4799.642,55940,37487,9.7,59.4
Alabama,2011/8/1,4799.642,55940,21609,9.5,59.3
Alabama,2011/9/1,4799.642,55940,21801,9.3,59.2
Alabama,2011/10/1,4799.642,55940,26144,9.1,59
Alabama,2011/11/1,4799.642,55940,20211,8.9,58.9
Alabama,2011/12/1,4799.642,55940,35432,8.7,58.7
Alabama,2012/1/1,4816.632,56010,34940,8.6,58.6
Alabama,2012/2/1,4816.632,56010,17738,8.5,58.4
Alabama,2012/3/1,4816.632,56010,22168,8.4,58.3
Alabama,2012/4/1,4816.632,56010,19581,8.4,58.3
Alabama,2012/5/1,4816.632,56010,20398,8.4,58.3
Alabama,2012/6/1,4816.632,56010,24607,8.3,58.3
Alabama,2012/7/1,4816.632,56010,28523,8.2,58.3
Alabama,2012/8/1,4816.632,56010,17563,8.1,58.3
Alabama,2012/9/1,4816.632,56010,22635,7.9,58.3
Alabama,2012/10/1,4816.632,56010,18688,7.8,58.3
Alabama,2012/11/1,4816.632,56010,18182,7.8,58.3
Alabama,2012/12/1,4816.632,56010,27213,7.7,58.2
Alabama,2013/1/1,4831.586,60250,35300,7.7,58.1
Alabama,2013/2/1,4831.586,60250,16637,7.6,58
Alabama,2013/3/1,4831.586,60250,20496,7.5,57.9
Alabama,2013/4/1,4831.586,60250,16824,7.4,57.9
Alabama,2013/5/1,4831.586,60250,18219,7.3,57.8
Alabama,2013/6/1,4831.586,60250,22337,7.3,57.8
Alabama,2013/7/1,4831.586,60250,26501,7.3,57.7
Alabama,2013/8/1,4831.586,60250,19942,7.3,57.6
Alabama,2013/9/1,4831.586,60250,15761,7.3,57.5
Alabama,2013/10/1,4831.586,60250,16018,7.2,57.4
Alabama,2013/11/1,4831.586,60250,18958,7.2,57.3
Alabama,2013/12/1,4831.586,60250,20553,7.2,57.2
Alabama,2014/1/1,4843.737,53070,31116,7.2,57.2
Alabama,2014/2/1,4843.737,53070,16252,7.1,57.2
Alabama,2014/3/1,4843.737,53070,17241,7.1,57.2
Alabama,2014/4/1,4843.737,53070,14190,7,57.1
Alabama,2014/5/1,4843.737,53070,18894,6.9,57.1
Alabama,2014/6/1,4843.737,53070,16468,6.9,57
Alabama,2014/7/1,4843.737,53070,19053,6.8,56.9
Alabama,2014/8/1,4843.737,53070,16611,6.7,56.8
Alabama,2014/9/1,4843.737,53070,12490,6.6,56.8
Alabama,2014/10/1,4843.737,53070,13189,6.4,56.7
Alabama,2014/11/1,4843.737,53070,17349,6.3,56.7
Alabama,2014/12/1,4843.737,53070,16285,6.2,56.7
Alabama,2015/1/1,4854.803,55920,28065,6.2,56.7
Alabama,2015/2/1,4854.803,55920,12777,6.1,56.8
Alabama,2015/3/1,4854.803,55920,13023,6.1,56.8
Alabama,2015/4/1,4854.803,55920,14475,6.1,56.8
Alabama,2015/5/1,4854.803,55920,17966,6.1,56.8
Alabama,2015/6/1,4854.803,55920,13982,6.1,56.8
Alabama,2015/7/1,4854.803,55920,16612,6.1,56.7
Alabama,2015/8/1,4854.803,55920,14646,6.1,56.6
Alabama,2015/9/1,4854.803,55920,10191,6.1,56.6
Alabama,2015/10/1,4854.803,55920,14537,6,56.6
Alabama,2015/11/1,4854.803,55920,12134,6,56.7
Alabama,2015/12/1,4854.803,55920,13817,6,56.7
Alabama,2016/1/1,4866.824,58800,26080,5.9,56.8
Alabama,2016/2/1,4866.824,58800,10794,5.9,56.9
Alabama,2016/3/1,4866.824,58800,11307,5.9,56.9
Alabama,2016/4/1,4866.824,58800,14145,5.8,56.9
Alabama,2016/5/1,4866.824,58800,12820,5.8,56.9
Alabama,2016/6/1,4866.824,58800,12407,5.8,57
Alabama,2016/7/1,4866.824,58800,19914,5.8,57
Alabama,2016/8/1,4866.824,58800,10936,5.8,57
Alabama,2016/9/1,4866.824,58800,9650,5.8,57.1
Alabama,2016/10/1,4866.824,58800,13741,5.8,57.1
Alabama,2016/11/1,4866.824,58800,10758,5.7,57.1
Alabama,2016/12/1,4866.824,58800,19048,5.6,57
Alabama,2017/1/1,4877.989,62250,17861,5.4,57
Alabama,2017/2/1,4877.989,62250,9608,5.2,57
Alabama,2017/3/1,4877.989,62250,9504,5,57
Alabama,2017/4/1,4877.989,62250,12686,4.8,57
Alabama,2017/5/1,4877.989,62250,11256,4.6,56.9
Alabama,2017/6/1,4877.989,62250,11943,4.5,56.9
Alabama,2017/7/1,4877.989,62250,20691,4.3,56.9
Alabama,2017/8/1,4877.989,62250,9886,4.2,56.9
Alabama,2017/9/1,4877.989,62250,10908,4.1,56.8
Alabama,2017/10/1,4877.989,62250,9640,4,56.8
Alabama,2017/11/1,4877.989,62250,9839,4,56.8
Alabama,2017/12/1,4877.989,62250,19023,4,56.8
Alabama,2018/1/1,4891.628,59900,17756,4,56.9
Alabama,2018/2/1,4891.628,59900,9192,4,57
Alabama,2018/3/1,4891.628,59900,10995,4,57.2
Alabama,2018/4/1,4891.628,59900,8545,4,57.3
Alabama,2018/5/1,4891.628,59900,13555,4,57.4
Alabama,2018/6/1,4891.628,59900,13924,4,57.4
Alabama,2018/7/1,4891.628,59900,14410,3.9,57.4
Alabama,2018/8/1,4891.628,59900,8855,3.9,57.4
Alabama,2018/9/1,4891.628,59900,9817,3.9,57.4
Alabama,2018/10/1,4891.628,59900,9160,3.8,57.4
Alabama,2018/11/1,4891.628,59900,9679,3.8,57.5
Alabama,2018/12/1,4891.628,59900,15241,3.8,57.6
Alabama,2019/1/1,4907.965,66430,16677,3.7,57.7
Alabama,2019/2/1,4907.965,66430,9317,3.6,57.8
Alabama,2019/3/1,4907.965,66430,11031,3.4,57.8
Alabama,2019/4/1,4907.965,66430,9127,3.3,57.7
Alabama,2019/5/1,4907.965,66430,10088,3.2,57.7
Alabama,2019/6/1,4907.965,66430,13799,3,57.7
Alabama,2019/7/1,4907.965,66430,11733,3,57.7
Alabama,2019/8/1,4907.965,66430,10933,3,57.7
Alabama,2019/9/1,4907.965,66430,7728,3,57.7
Alabama,2019/10/1,4907.965,66430,7905,3,57.7
Alabama,2019/11/1,4907.965,66430,10395,3,57.7
Alabama,2019/12/1,4907.965,66430,11952,3.1,57.6
Alabama,2020/1/1,5033.094,63980,12819,3.2,57.4
Alabama,2020/2/1,5033.094,63980,9637,3.3,57.2
Alabama,2020/3/1,5033.094,63980,95358,3.4,57
Alabama,2020/4/1,5033.094,63980,325652,13.8,55.4
Alabama,2020/5/1,5033.094,63980,130055,10.4,57.3
Alabama,2020/6/1,5033.094,63980,75325,8.6,57.3
Alabama,2020/7/1,5033.094,63980,80732,7.5,57.5
Alabama,2020/8/1,5033.094,63980,49391,6.3,57.5
Alabama,2020/9/1,5033.094,63980,35233,5.9,57.6
Alabama,2020/10/1,5033.094,63980,38463,5.2,57.4
Alabama,2020/11/1,5033.094,63980,36900,4.8,57.2
Alabama,2020/12/1,5033.094,63980,28273,4.5,57
Alabama,2021/1/1,5049.196,63750,61329,4.1,56.7
Alabama,2021/2/1,5049.196,63750,48570,3.9,56.6
Alabama,2021/3/1,5049.196,63750,62802,3.7,56.5
Alabama,2021/4/1,5049.196,63750,35100,3.7,56.5
Alabama,2021/5/1,5049.196,63750,46488,3.5,56.4
Alabama,2021/6/1,5049.196,63750,24731,3.5,56.4
Alabama,2021/7/1,5049.196,63750,26164,3.3,56.3
Alabama,2021/8/1,5049.196,63750,22503,3.2,56.3
Alabama,2021/9/1,5049.196,63750,17045,3,56.3
Alabama,2021/10/1,5049.196,63750,18204,2.9,56.4
Alabama,2021/11/1,5049.196,63750,12764,2.7,56.5
Alabama,2021/12/1,5049.196,63750,13100,2.7,56.6
Alabama,2022/1/1,5076.181,62290,22161,2.6,56.7
Alabama,2022/2/1,5076.181,62290,8398,2.6,56.8
Alabama,2022/3/1,5076.181,62290,7614,2.5,56.9
Alabama,2022/4/1,5076.181,62290,10500,2.5,56.9
Alabama,2022/5/1,5076.181,62290,9228,2.5,56.8
Alabama,2022/6/1,5076.181,62290,10842,2.5,56.8
Alabama,2022/7/1,5076.181,62290,20164,2.5,56.7
Alabama,2022/8/1,5076.181,62290,11100,2.5,56.7
Alabama,2022/9/1,5076.181,62290,8564,2.5,56.6
Alabama,2022/10/1,5076.181,62290,11345,2.5,56.5
Alabama,2022/11/1,5076.181,62290,9058,2.4,56.5
Alabama,2022/12/1,5076.181,62290,13986,2.3,56.6
Alabama,2023/1/1,5117.673,60660,10926,2.3,56.6
Alabama,2023/2/1,5117.673,60660,8382,2.3,56.7
Alabama,2023/3/1,5117.673,60660,8942,2.3,56.8
Alabama,2023/4/1,5117.673,60660,10715,2.3,56.9
Alabama,2023/5/1,5117.673,60660,10126,2.3,56.9
Alabama,2023/6/1,5117.673,60660,9769,2.3,57
Alabama,2023/7/1,5117.673,60660,14665,2.4,57
Alabama,2023/8/1,5117.673,60660,10711,2.5,57.1
Alabama,2023/9/1,5117.673,60660,11264,2.6,57.1
Alabama,2023/10/1,5117.673,60660,8532,2.7,57.2
Alabama,2023/11/1,5117.673,60660,8154,2.8,57.3
Alabama,2023/12/1,5117.673,60660,12338,2.8,57.3
Alabama,2024/1/1,5157.699,60660,12295,2.9,57.3
Alabama,2024/2/1,5157.699,60660,8089,2.9,57.3
Alabama,2024/3/1,5157.699,60660,9927,2.9,57.4
Alabama,2024/4/1,5157.699,60660,8940,2.9,57.4
Alabama,2024/5/1,5157.699,60660,9718,2.9,57.4
Alabama,2024/6/1,5157.699,60660,12395,2.9,57.5
Alabama,2024/7/1,5157.699,60660,11197,3,57.5
Alabama,2024/8/1,5157.699,60660,10518,3.1,57.6
Alabama,2024/9/1,5157.699,60660,7806,3.3,57.7
Alabama,2024/10/1,5157.699,60660,8434,3.3,57.7
Alabama,2024/11/1,5157.699,60660,9714,3.3,57.6
